stt,province,festival_name,type,month_gregorian_2018,month_gregorian_2019,month_gregorian_2020,month_gregorian_2021,month_gregorian_2022,month_gregorian_2023,month_gregorian_2024,month_gregorian_2025
1,An Giang,Lễ hội Bà Chúa Xứ núi Sam,Truyền thống,2018-06,2019-05,2020-05,2021-06,2022-05,2023-06,2024-05,2025-05
2,An Giang,Lễ hội đua bò Bảy Núi,Dân gian,2018-05,2019-05,2020-04,2021-05,2022-05,2023-05,2024-05,2025-04
3,Bà Rịa - Vũng Tàu,Lễ hội Dinh Cô (Long Hải),Truyền thống,2018-03,2019-03,2020-03,2021-03,2022-03,2023-03,2024-03,2025-03
4,Bà Rịa - Vũng Tàu,Lễ hội Nghinh Ông Thắng Tam,Ngư nghiệp,2018-04,2019-03,2020-03,2021-03,2022-03,2023-03,2024-03,2025-03
5,Bạc Liêu,Tết Chol Chnam Thmay (người Khmer),Dân tộc,2018-04,2019-04,2020-04,2021-04,2022-04,2023-04,2024-04,2025-04
6,Bắc Giang,Lễ hội Thổ Hà,Truyền thống,2018-03,2019-02,2020-02,2021-03,2022-02,2023-02,2024-02,2025-02
7,Bắc Giang,Lễ hội chùa Vĩnh Nghiêm,Tôn giáo,2018-03,2019-03,2020-03,2021-03,2022-03,2023-03,2024-03,2025-03
8,Bắc Giang,Lễ hội Kẽ (Dĩnh Kế),Truyền thống,2018-03,2019-03,2020-02,2021-03,2022-03,2023-02,2024-03,2025-03
9,Bắc Giang,Lễ hội Xương Giang,Truyền thống,2018-03,2019-02,2020-02,2021-02,2022-02,2023-02,2024-02,2025-02
10,Bắc Kạn,Lễ hội Lồng Tồng Ba Bể,Dân tộc,2018-02,2019-02,2020-02,2021-02,2022-02,2023-01,2024-02,2025-02
11,Bắc Kạn,Lễ hội Ba Bể,Truyền thống,2018-02,2019-02,2020-01,2021-02,2022-02,2023-01,2024-02,2025-02
12,Bắc Ninh,Hội Lim,Truyền thống,2018-02,2019-02,2020-02,2021-02,2022-02,2023-02,2024-02,2025-02
13,Bắc Ninh,Hội Đồng Kỵ,Thủ công,2018-02,2019-02,2020-01,2021-02,2022-02,2023-01,2024-02,2025-02
